# File created on Tue Feb 24 19:53:24 2026
#
# time         R02m-02         I02m-02         R02m-01         I02m-01         R02m000         I02m000         R02m001         I02m001         R02m002         I02m002         R03m-03         I03m-03         R03m-02         I03m-02         R03m-01         I03m-01         R03m000         I03m000         R03m001         I03m001         R03m002         I03m002         R03m003         I03m003         R04m-04         I04m-04         R04m-03         I04m-03         R04m-02         I04m-02         R04m-01         I04m-01         R04m000         I04m000         R04m001         I04m001         R04m002         I04m002         R04m003         I04m003         R04m004         I04m004         
0              7.7552899e-08   1.0720213e-06   1.7260647e-09   -3.9368101e-12  6.3878099e-08   0               1.7260647e-09   3.9368101e-12   7.7552899e-08   -1.0720213e-06  1.2504935e-08   -8.6700833e-10  7.5380596e-11   2.1090449e-09   3.2303389e-09   -6.6162665e-10  0               1.154554e-09    -3.2303389e-09  -6.6162665e-10  -7.5380596e-11  2.1090449e-09   -1.2504935e-08  -8.6700833e-10  4.4594942e-10   -2.6748917e-09  -1.5860694e-11  9.9243995e-12   -2.3153347e-10  -2.206589e-09   -8.7659663e-12  -1.3126281e-11  8.5937861e-10   0               -8.7659663e-12  1.3126281e-11   -2.3153347e-10  2.206589e-09    -1.5860694e-11  -9.9243995e-12  4.4594942e-10   2.6748917e-09  
0              1.0105849e-07   1.2982162e-06   2.2312209e-09   -3.6949064e-12  8.3249726e-08   0               2.2312209e-09   3.6949064e-12   1.0105849e-07   -1.2982162e-06  1.6157895e-08   -1.2042193e-09  1.1477403e-10   2.9058922e-09   4.1697705e-09   -9.2333815e-10  0               1.5903366e-09   -4.1697705e-09  -9.2333815e-10  -1.1477403e-10  2.9058922e-09   -1.6157895e-08  -1.2042193e-09  6.5035354e-10   -3.6864212e-09  -2.0459257e-11  1.1124799e-11   -3.4660306e-10  -3.0403187e-09  -5.6084446e-12  -1.3537122e-11  1.2636906e-09   0               -5.6084446e-12  1.3537122e-11   -3.4660306e-10  3.0403187e-09   -2.0459257e-11  -1.1124799e-11  6.5035354e-10   3.6864212e-09  
0              1.3402485e-07   1.5927802e-06   2.9320643e-09   -5.6445964e-12  1.1042427e-07   0               2.9320643e-09   5.6445964e-12   1.3402485e-07   -1.5927802e-06  2.1249068e-08   -1.7120453e-09  1.7808795e-10   4.0929876e-09   5.483383e-09    -1.3117644e-09  0               2.2391008e-09   -5.483383e-09   -1.3117644e-09  -1.7808795e-10  4.0929876e-09   -2.1249068e-08  -1.7120453e-09  9.7415848e-10   -5.1935036e-09  -2.9252094e-11  1.5616144e-11   -5.3140141e-10  -4.283259e-09   -8.2296151e-12  -2.0338443e-11  1.9073848e-09   0               -8.2296151e-12  2.0338443e-11   -5.3140141e-10  4.283259e-09    -2.9252094e-11  -1.5616144e-11  9.7415848e-10   5.1935036e-09  
0              1.8137173e-07   1.9836305e-06   3.9291804e-09   -1.0133445e-11  1.494627e-07    0               3.9291804e-09   1.0133445e-11   1.8137173e-07   -1.9836305e-06  2.8516184e-08   -2.5000428e-09  2.8099333e-10   5.8972243e-09   7.3605772e-09   -1.9088438e-09  0               3.2328612e-09   -7.3605772e-09  -1.9088438e-09  -2.8099333e-10  5.8972243e-09   -2.8516184e-08  -2.5000428e-09  1.5041418e-09   -7.5038241e-09  -4.8685803e-11  2.8814794e-11   -8.3574129e-10  -6.1713802e-09  -1.7389718e-11  -3.5294177e-11  2.9703745e-09   0               -1.7389718e-11  3.5294177e-11   -8.3574129e-10  6.1713802e-09   -4.8685803e-11  -2.8814794e-11  1.5041418e-09   7.5038241e-09  
0              2.5125492e-07   2.5134154e-06   5.3961598e-09   -1.2358855e-11  2.0710532e-07   0               5.3961598e-09   1.2358855e-11   2.5125492e-07   -2.5134154e-06  3.9162725e-08   -3.7455472e-09  4.6198666e-10   8.8806135e-09   1.0101091e-08   -2.8710965e-09  0               4.8057934e-09   -1.0101091e-08  -2.8710965e-09  -4.6198666e-10  8.8806135e-09   -3.9162725e-08  -3.7455472e-09  2.4057713e-09   -1.1164112e-08  -6.3776076e-11  2.8544063e-11   -1.3642561e-09  -9.3027521e-09  -1.4556682e-11  -4.6342979e-11  4.7896141e-09   0               -1.4556682e-11  4.6342979e-11   -1.3642561e-09  9.3027521e-09   -6.3776076e-11  -2.8544063e-11  2.4057713e-09   1.1164112e-08  
0              3.5778414e-07   3.2501469e-06   7.6053624e-09   -2.1890946e-11  2.9499377e-07   0               7.6053624e-09   2.1890946e-11   3.5778414e-07   -3.2501469e-06  5.5293607e-08   -5.8333481e-09  7.5712058e-10   1.350917e-08    1.426226e-08    -4.4568422e-09  0               7.3927657e-09   -1.426226e-08   -4.4568422e-09  -7.5712058e-10  1.350917e-08    -5.5293607e-08  -5.8333481e-09  4.0111705e-09   -1.7190692e-08  -1.1708901e-10  6.3717946e-11   -2.2829593e-09  -1.4144445e-08  -3.2258565e-11  -8.0839793e-11  8.053193e-09    0               -3.2258565e-11  8.0839793e-11   -2.2829593e-09  1.4144445e-08   -1.1708901e-10  -6.3717946e-11  4.0111705e-09   1.7190692e-08  
0              5.2638136e-07   4.3051411e-06   1.1063739e-08   -4.904035e-11   4.3418183e-07   0               1.1063739e-08   4.904035e-11    5.2638136e-07   -4.3051411e-06  8.0656581e-08   -9.4687892e-09  1.341395e-09    2.1538692e-08   2.0823368e-08   -7.1903591e-09  0               1.1842169e-08   -2.0823368e-08  -7.1903591e-09  -1.341395e-09   2.1538692e-08   -8.0656581e-08  -9.4687892e-09  7.0254135e-09   -2.7572047e-08  -2.2179638e-10  1.3966176e-10   -4.0571574e-09  -2.2549147e-08  -9.3742861e-11  -1.7006527e-10  1.4225004e-08   0               -9.3742861e-11  1.7006527e-10   -4.0571574e-09  2.2549147e-08   -2.2179638e-10  -1.3966176e-10  7.0254135e-09   2.7572047e-08  
0              8.0559954e-07   5.8701815e-06   1.6747218e-08   -9.1133649e-11  6.6490416e-07   0               1.6747218e-08   9.1133649e-11   8.0559954e-07   -5.8701815e-06  1.223582e-07    -1.612209e-08   2.5769654e-09   3.6607503e-08   3.1584272e-08   -1.2219939e-08  0               1.9924946e-08   -3.1584272e-08  -1.2219939e-08  -2.5769654e-09  3.6607503e-08   -1.223582e-07   -1.612209e-08   1.3061963e-08   -4.6466261e-08  -4.0629872e-10  2.4582995e-10   -7.7132529e-09  -3.8366105e-08  -1.6525836e-10  -3.1294481e-10  2.6668404e-08   0               -1.6525836e-10  3.1294481e-10   -7.7132529e-09  3.8366105e-08   -4.0629872e-10  -2.4582995e-10  1.3061963e-08   4.6466261e-08  
0              1.2947102e-06   8.2962309e-06   2.6629093e-08   -1.645687e-10   1.0693502e-06   0               2.6629093e-08   1.645687e-10    1.2947102e-06   -8.2962309e-06  1.9485181e-07   -2.9190566e-08  5.0684812e-09   6.4604965e-08   5.0284893e-08   -2.2107713e-08  0               3.5615517e-08   -5.0284893e-08  -2.2107713e-08  -5.0684812e-09  6.4604965e-08   -1.9485181e-07  -2.9190566e-08  2.6145855e-08   -8.3237952e-08  -7.4964915e-10  4.743508e-10    -1.54968e-08    -6.766119e-08   -3.0802415e-10  -5.871701e-10   5.3829642e-08   0               -3.0802415e-10  5.871701e-10    -1.54968e-08    6.766119e-08    -7.4964915e-10  -4.743508e-10   2.6145855e-08   8.3237952e-08  
0              2.2128111e-06   1.2263456e-05   4.4868953e-08   -3.873404e-10   1.8298454e-06   0               4.4868953e-08   3.873404e-10    2.2128111e-06   -1.2263456e-05  3.299652e-07    -5.7236274e-08  1.1423228e-08   1.2510707e-07   8.5156174e-08   -4.310926e-08   0               6.8727731e-08   -8.5156174e-08  -4.310926e-08   -1.1423228e-08  1.2510707e-07   -3.299652e-07   -5.7236274e-08  5.7444557e-08   -1.6110053e-07  -1.7409395e-09  1.1446679e-09   -3.4711423e-08  -1.3108038e-07  -7.1566161e-10  -1.3237097e-09  1.1927881e-07   0               -7.1566161e-10  1.3237097e-09   -3.4711423e-08  1.3108038e-07   -1.7409395e-09  -1.1446679e-09  5.7444557e-08   1.6110053e-07  
0              4.0990788e-06   1.9220045e-05   8.2180946e-08   -9.5605594e-10  3.3954095e-06   0               8.2180946e-08   9.5605594e-10   4.0990788e-06   -1.9220045e-05  6.0561175e-07   -1.2405948e-07  2.8264639e-08   2.655412e-07    1.566666e-07    -9.2926957e-08  0               1.4654827e-07   -1.566666e-07   -9.2926957e-08  -2.8264639e-08  2.655412e-07    -6.0561175e-07  -1.2405948e-07  1.4278127e-07   -3.4501075e-07  -3.7547447e-09  2.9032778e-09   -8.6972151e-08  -2.7804343e-07  -2.146483e-09   -3.5089335e-09  2.9892304e-07   0               -2.146483e-09   3.5089335e-09   -8.6972151e-08  2.7804343e-07   -3.7547447e-09  -2.9032778e-09  1.4278127e-07   3.4501075e-07  
